timestamp,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e01_prediction,e02_prediction,e03_prediction,e04_prediction,e05_prediction,e06_prediction,e07_prediction,e08_prediction,e09_prediction,e10_prediction,e11_prediction,e12_prediction,e13_prediction,e05_dev_r,e08_dev_r,e09_dev_r,e11_dev_r,e10_dev_r,e04_dev_r,e12_dev_r,e02_dev_r,e03_dev_r,e01_dev_r,e06_dev_r,e07_dev_r,e13_dev_r
1535731200000,8712.0,25.0,1253.0,11978.0,260.0,113.0,444.0,79606.0,7700.0,1975087.0,62538.0,15559.0,13.0,8712.0,25.0,1253.0,11978.0,260.0,113.0,444.0,79606.0,7700.0,1435449.0,55950.0,15559.0,11.0,0.0,0.0,0.0,0.117747992277,0.375936716795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818187237
1535731500000,6646.0,32.0,1333.0,9973.0,203.0,107.0,201.0,60582.0,5994.0,1435449.0,55950.0,12839.0,,6646.0,32.0,1333.0,9973.0,203.0,107.0,444.0,60582.0,5994.0,1435449.0,55950.0,12839.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547297298908,
1535731800000,5992.0,20.0,1366.0,7674.0,194.0,80.0,210.0,47867.0,5007.0,1217301.0,54853.0,14121.0,,5992.0,20.0,1187.0,7674.0,194.0,80.0,210.0,47867.0,5007.0,1217301.0,55950.0,14121.0,,0.0,0.0,0.0,0.0196067914367,0.0,0.0,0.0,0.0,0.150800332427,0.0,0.0,0.0,
1535732100000,5649.0,28.0,1187.0,7510.0,190.0,78.0,143.0,47557.0,4795.0,1114249.0,51232.0,15624.0,,5649.0,28.0,1187.0,7510.0,190.0,78.0,143.0,47867.0,4795.0,1114249.0,51232.0,15624.0,,0.0,0.00647627795115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1535732400000,5247.0,37.0,1051.0,6588.0,192.0,102.0,131.0,51325.0,4198.0,1005776.0,46059.0,11560.0,,5649.0,37.0,1051.0,6588.0,192.0,78.0,131.0,47557.0,4198.0,1005776.0,46059.0,11560.0,,0.0,0.0792312398553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711630359292,0.307692319155,0.0,
1535732700000,4787.0,29.0,1030.0,6067.0,205.0,75.0,116.0,45845.0,4041.0,940492.0,42577.0,12871.0,,4787.0,29.0,1030.0,6067.0,205.0,69.0,116.0,40561.0,4041.0,940492.0,42577.0,12871.0,,0.0,0.1302729249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565233588,0.0,
1535733000000,4796.0,21.0,1086.0,5841.0,175.0,69.0,152.0,40561.0,4073.0,922306.0,38904.0,12332.0,,4796.0,21.0,1086.0,5841.0,175.0,69.0,152.0,40561.0,4073.0,922306.0,38904.0,12332.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1535733300000,4468.0,20.0,1002.0,5933.0,186.0,42.0,116.0,35124.0,3823.0,868087.0,42129.0,10896.0,,4468.0,20.0,1002.0,5933.0,186.0,42.0,116.0,35124.0,4073.0,868087.0,42129.0,10896.0,,0.0,0.0,0.0613798201084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1535733600000,3951.0,28.0,740.0,5187.0,164.0,68.0,131.0,43904.0,3246.0,779398.0,37007.0,11120.0,,3951.0,20.0,740.0,5187.0,186.0,68.0,131.0,43904.0,3246.0,779398.0,37007.0,11120.0,,0.118279568851,0.0,0.0,0.0,0.0,0.0,0.0,0.40000000596,0.0,0.0,0.0,0.0,
1535733900000,3768.0,15.0,844.0,5044.0,144.0,104.0,91.0,40694.0,3181.0,724205.0,36040.0,11755.0,,3768.0,15.0,844.0,5044.0,144.0,104.0,91.0,40694.0,3181.0,724205.0,36040.0,11755.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1535734200000,3486.0,16.0,655.0,4990.0,153.0,74.0,85.0,30432.0,2932.0,683284.0,32696.0,12409.0,,3768.0,16.0,655.0,5044.0,153.0,74.0,85.0,30432.0,3181.0,683284.0,32696.0,12409.0,,0.0,0.0,0.0782772749662,0.0,0.0,0.0107057886198,0.0,0.0,0.0,0.0748407617211,0.0,0.0,
1535734500000,3317.0,24.0,716.0,4376.0,177.0,67.0,83.0,35442.0,2886.0,638646.0,31849.0,8916.0,,3486.0,24.0,716.0,4376.0,177.0,74.0,83.0,35442.0,2886.0,638646.0,31849.0,8916.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484796315432,0.0945945978165,0.0,
1535734800000,3433.0,17.0,614.0,4425.0,151.0,14.0,107.0,28813.0,2765.0,621801.0,27279.0,12540.0,11.0,3433.0,17.0,614.0,4425.0,151.0,14.0,107.0,28813.0,2765.0,621801.0,27279.0,12540.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535735100000,3463.0,21.0,582.0,4406.0,181.0,49.0,119.0,29368.0,2697.0,575961.0,27119.0,11991.0,,3463.0,21.0,582.0,4406.0,181.0,49.0,119.0,29368.0,2697.0,575961.0,27119.0,11991.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
